flag	grade	evidence	checked	declared_in
--micro-group	exp	P051 - packed 전용 레버. 상주식에 bpw 가 없다	2026-09-04	scripts/diag_lut_kernel.py,tinylm/cli.py
--min-chars	ok		2026-09-04	scripts/diag_spam_rate.py
--mlp-film	rejected	결과 063 - 무KD 에서도 +0.0003 (t 0.77). KD 조건의 값이 그대로 재현됐다	2026-09-04	tinylm/cli.py
--mlp-group	exp	결과 067 §11.3 - 잰 전 구간에서 지배당했다(d8 +0.0637 -> d16 +0.1049). 기각이 아니라 파레토 밖	2026-09-04	tinylm/cli.py
--mlp-lrm	exp	P086 / 결과 072 - dense 몸통에서 -0.0005 로 종결. 타잉 몸통은 미측정	2026-09-04	tinylm/cli.py
--mlp-split	ok		2026-09-04	scripts/diag_depth_init.py,tinylm/cli.py
--mode	ok		2026-09-04	scripts/diag_train_repeat.py
--models	ok		2026-09-04	scripts/bench_fused_int8.py,scripts/bench_infer.py,scripts/common_bpb.py,scripts/diag_alpha_group.py,scripts/diag_attention_sink.py,scripts/diag_decode_profile.py,scripts/diag_fp8_precision.py,scripts/diag_kvcache.py,scripts/diag_layer_map.py,scripts/diag_sparse34.py,scripts/diag_trapping.py,scripts/eval_bench_suite.py,scripts/eval_korean_bench.py,scripts/mem_runtime.py,scripts/paired_eval.py,scripts/probe_prompts.py
--modes	ok		2026-09-04	scripts/diag_depth_init.py
--muon-lr-mult	ok	P005 Stage1 - Muon 그룹 lr 배수. 기본 1.0 = 종전 동작. 원 구현 2e-2 대 우리 1e-3 이라 배수가 필요하다	2026-09-04	tinylm/cli.py
--n	ok		2026-09-04	scripts/diag_sparse34_pack.py,scripts/eval_bench_suite.py,scripts/eval_korean_bench.py
--n-crops	ok		2026-09-04	scripts/diag_layer_map.py
--name	ok		2026-09-04	scripts/check_batch_name.py,scripts/runlog.py
--near	ok		2026-09-04	scripts/diag_dataset_quality.py
--new	ok		2026-09-04	scripts/rename_result.py
--no-append	ok		2026-09-04	scripts/runlog.py
--no-cache	ok		2026-09-04	scripts/bench_infer.py,scripts/probe_prompts.py,tinylm/cli.py
--no-ckpt	ok		2026-09-04	tinylm/cli.py
--no-cla-edges	exp	P084 / 결과 071 - 채택 후보이나 paired_eval 이 선결. 상주 32.31 로 32 예산 밖	2026-09-04	tinylm/cli.py
--no-eos-stop	ok		2026-09-04	tinylm/cli.py
--no-pmi	ok		2026-09-04	scripts/eval_bench_suite.py
--note	ok		2026-09-04	scripts/registry.py,scripts/runlog.py,scripts/wip.py
--num	ok		2026-09-04	scripts/runlog.py
--old	ok		2026-09-04	scripts/rename_result.py
--only	ok		2026-09-04	scripts/fetch_bench_data.py
--opt-dtype	exp	P022B 단계2 - 기본 fp32 = 비트 동일	2026-09-04	tinylm/cli.py
--optimizer	ok	P005 Stage1 - 2026-09-05 에 LR 스케줄 미적용·wd 규약 소실·json 필드 없음을 고치고 스모크 팔 [19b] 신설. 배치 run_P005_Stage1_muon_lrscan.bat	2026-09-04	tinylm/cli.py
--out	ok		2026-09-04	scripts/diag_lut_kernel.py
--out-jsonl	ok		2026-09-04	scripts/eval_bench_suite.py
--outdir	ok		2026-09-04	scripts/runlog.py
--pairs	ok		2026-09-04	scripts/paired_join.py
--paths	ok		2026-09-04	scripts/diag_decode_profile.py
--plan	ok		2026-09-04	scripts/check_run_registry.py
--plan-stage	ok		2026-09-04	scripts/registry.py
--pool-tokens	ok		2026-09-04	tinylm/cli.py
--pools	ok		2026-09-04	scripts/diag_val_lang.py
--prefix	ok		2026-09-04	scripts/wandb_table_probe.py
--preset	ok		2026-09-04	scripts/bench_fused_int8.py,scripts/bench_infer.py,scripts/common_bpb.py,scripts/diag_alpha_group.py,scripts/diag_attention_sink.py,scripts/diag_decode_profile.py,scripts/diag_depth_init.py,scripts/diag_dtype_map.py,scripts/diag_fp8_precision.py,scripts/diag_gqa_equiv.py,scripts/diag_group_agg.py,scripts/diag_kvcache.py,scripts/diag_layer_gates.py,scripts/diag_layer_map.py,scripts/diag_repeat_attn_sim.py,scripts/diag_sparse34.py,scripts/diag_train_repeat.py,scripts/diag_trapping.py,scripts/diag_val_docs.py,scripts/eval_bench_suite.py,scripts/eval_korean_bench.py,scripts/eval_slices.py,scripts/mem_runtime.py,scripts/paired_eval.py,scripts/probe_prompts.py,tinylm/cli.py
--probe-only	ok		2026-09-04	scripts/diag_fp8_precision.py
--project	ok		2026-09-04	scripts/wandb_sync.py,scripts/wandb_table_probe.py
--prompt	ok		2026-09-04	tinylm/cli.py
